No,Customer,Daerah,Koordinat,Keterangan (Opsional)
1,D'BALE CHICKEN,Piyungan,"-7.830956, 110.475485",
2,BOBA EMPIRIS,Piyungan,"-7.831353, 110.475422",
3,ANGKRINGAN BU MUNARTI,Piyungan,"-7.838402, 110.476686",
4,ANGKRINGAN PRAYOGO (BS3218),Piyungan,"-7.842439, 110.482816",
5,ANGKRINGAN OJO LALI PAK YANTO (BM4079),Wonosari,"-7.952497, 110.592854",
6,KOLING (BM4048),Wonosari,"-7.953284, 110.593385",
7,RM PADANG LANGGENG MULYA,Wonosari,"-7.857771, 110.502743",
8,LESEHAN MAK MI,Patuk,"-7.859877, 110.504147",
9,WULENPARI,Wisata Jelok,"-7.885700, 110.512106",
10,RM LANGGENG TIMUR (BM4055),Patuk,"-7.965483, 110.714737",
11,ANGKRINGAN TOP,Patuk,"-7.877001, 110.538914",
12,BAKWAN KAWI LEK SOMAT,Playen,"-7.973414, 110.544726",
13,WARUNG MAKAN BAROKAH,Wonosari,"-7.950609, 110.586541",
14,Mi ayam bakso Dan ketoprak gunungkidul SIDA LARIS SAMBIPITU,Patuk,"-7.877142, 110.540868",
15,MIE AYAM & BAKSO PAK ARIF SAMBI 7,Patuk,"-7.867025, 110.543498",
16,Mie Ayam Bakso Tan Sumur. MBS. Pak TUPARMAN,Patuk,"-7.878089, 110.542791",
17,Angkringan Mas Kirun,,"-7.929446, 110.544460",
18,ANGKRINGAN MBAK RETNO,,"-7.978843, 110.614061",
19,ANGKRINGAN JEMBATAN,Agus Salim,"-7.964240, 110.598953",
20,BOBA YOU AND ME,,"-7.843351, 110.592175",
21,BOBA SEPARUH HATI 1,Wonosari,"-7.925800, 110.604947",
22,Bakso OMAH NDELIK,Wonosari,"-7.835452, 110.469432","Jl. Wonosari Km 7, Banguntapan, Yogyakarta"
23,RM NGALANG,,"-7.884076, 110.568739",
24,MIE AYAM & DEGAN,,"-7.883627, 110.568190",
25,ANGKRINGAN BU TUMINI,Playen,"-7.896179, 110.571306",
26,SRC WINDARTI,,"-7.896460, 110.571252",
27,Kopi Wono Angkringan Mbah Dullah,Gading,"-7.914460, 110.576358",
28,RUMAH MAKAN PADANG BAROKAH,,"-7.890317, 110.691197","4M5R+WG6, Jl. Raya Watusigar, Tegalsari, Jatiayu, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891"
29,MIE AYAM KD (BS),,"-7.891536, 110.690864",
30,"Warung Bakso Mie Ayam ""Bu Wakir""",Gading,"-7.914014, 110.555657",
31,RM Padang Tuah Saiyo,Semanu,"-7.979519, 110.614717",
32,Es degan depan lapangan terbang gading,Gading,"-7.916918, 110.556694",
33,"Rumah Makan Padang Pak Toha
",Gading,"-7.955003, 110.590500",
34,Angkringan Pak Agus,Gading,"-7.919185, 110.558092",
35,Soto Ayam Tan Proyek,Kesatrian,"-7.932662, 110.570367",
36,Soto Tan Proyek Mbah Lurah (Pusat),Playen,"-7.936135, 110.573512",
37,Warung Simbok,,"-7.929711, 110.567620",
38,OMAHENA,Playen,"-7.934734, 110.577528",
39,Es Guppy #2,Wonosari,"-7.967726, 110.598316",
40,WARKOP MAS BROW,Siyono,"-7.856476, 110.473247",
41,Rumah Makan Nasi Padang Giwangan,Siyono,"-7.950996, 110.586848",
42,WARIMIN (BL3036),,"-8.019256, 110.742316",
43,Angkringan Kang Parjo,Siyono,"-7.948827, 110.576936",
44,ANGKRINGAN DELLA JC,,"-7.961739, 110.588616","2HQQ+8F7, Jl. Kyai Legi, Bansari, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
45,ANGKRINGAN JC (BS),,"-7.958254, 110.588015","2HVP+6R9, Jl. Kyai Legi, Sumbermulyo, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
46,Lesehan Layah Kembar Garden,,"-7.974908, 110.593412","Seneng, Siraman, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
47,Angkringan Mbak Yuni pasar pitek,Kesatrian,"-7.960309, 110.597576",
48,Sop Buntut dan Soto SARPRING,Kesatrian,"-7.959640, 110.597289",
49,AD~ Angkringan Deso,Playen,"-7.949318, 110.579114",
50,SATE KAMBING LEDOKSARI,Agus Salim,"-7.958347, 110.593486",
51,ANGKRINGAN TBY,,"-7.957234, 110.592496",
52,Wadek Angkringan,Piyaman,"-7.944282, 110.588304",
53,Mie Ayam Dan Bakso Barokah Pak Eko,Piyaman,"-7.836995, 110.473269",
54,BAKSO LIK MAN,,"-7.791168, 110.357360",
55,SOTO PAK ANTON,Piyaman,"-7.940946, 110.602118",
56,ES KELAPA MUDA BU YATMI,,"-7.963976, 110.602776",
57,BOBA SEPARUH HATI 2,,"-7.925784, 110.604894","Jl. Wonosari - Nglipar, Ngelorejo, Gari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
58,OMA THAI TEA,,"-7.968605, 110.604068","Jl. Sumarwi No.6, Gadungsari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
59,WARUNG LESEHAN SUGARNI,Semanu,"-7.968959, 110.603861",
60,LESEHAN KHAS SOLO MBAH BAGONG 2,,"-7.971932, 110.603183",
61,Bakso & Soto Pak Wariyun,,"-7.967944, 110.602946","2JW3+MRQ, Jalan Taman Bakti, Jeruksari, Wonosari, Tawarsari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
62,Panda Asian Food,,"-7.962027, 110.602557","Jl. Taman Bakti No.7, Jeruk, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
63,MIE AYAM MAS BAGONG,,"-7.958098, 110.603594","2JR3+PCH, Jl. Taman Bakti, Jeruksari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
64,Es Guppy19,,"-7.964077, 110.605854","2JP4+98F, Jl. Nusa Indah, Purbosari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
65,ES GUPPY KSATRIAN (BL4016),,"-7.967783, 110.598379",
66,Toko GREEN POINT,,"-7.961310, 110.602678","2JQ3+C3Q, Jl. Taman Bakti, Jeruk, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
67,POP ICE CERIA,,"-7.977174, 110.611253",
