;D'BALE CHICKEN;BOBA EMPIRIS;ANGKRINGAN BU MUNARTI;ANGKRINGAN PRAYOGO (BS3218);ANGKRINGAN OJO LALI PAK YANTO (BM4079);KOLING (BM4048);RM PADANG LANGGENG MULYA;LESEHAN MAK MI;WULENPARI;RM LANGGENG TIMUR (BM4055);ANGKRINGAN TOP;BAKWAN KAWI LEK SOMAT;WARUNG MAKAN BAROKAH;Mi ayam bakso Dan ketoprak gunungkidul SIDA LARIS SAMBIPITU;MIE AYAM & BAKSO PAK ARIF SAMBI 7;Mie Ayam Bakso Tan Sumur. MBS. Pak TUPARMAN;Angkringan Mas Kirun;ANGKRINGAN MBAK RETNO;ANGKRINGAN JEMBATAN;BOBA YOU AND ME;BOBA SEPARUH HATI 1;Bakso OMAH NDELIK;RM NGALANG;MIE AYAM & DEGAN;ANGKRINGAN BU TUMINI;SRC WINDARTI;Kopi Wono Angkringan Mbah Dullah;RUMAH MAKAN PADANG BAROKAH;MIE AYAM KD (BS);"Warung Bakso Mie Ayam ""Bu Wakir""";RM Padang Tuah Saiyo;Es degan depan lapangan terbang gading;"Rumah Makan Padang Pak Toha
";Angkringan Pak Agus;Soto Ayam Tan Proyek;Soto Tan Proyek Mbah Lurah (Pusat);Warung Simbok;OMAHENA;Es Guppy #2;WARKOP MAS BROW;Rumah Makan Nasi Padang Giwangan;WARIMIN (BL3036);Angkringan Kang Parjo;ANGKRINGAN DELLA JC;ANGKRINGAN JC (BS);Lesehan Layah Kembar Garden;Angkringan Mbak Yuni pasar pitek;Sop Buntut dan Soto SARPRING;AD~ Angkringan Deso;SATE KAMBING LEDOKSARI;ANGKRINGAN TBY;Wadek Angkringan;Mie Ayam Dan Bakso Barokah Pak Eko;BAKSO LIK MAN;SOTO PAK ANTON;ES KELAPA MUDA BU YATMI;BOBA SEPARUH HATI 2;OMA THAI TEA;WARUNG LESEHAN SUGARNI;LESEHAN KHAS SOLO MBAH BAGONG 2;Bakso & Soto Pak Wariyun;Panda Asian Food;MIE AYAM MAS BAGONG;Es Guppy19;ES GUPPY KSATRIAN (BL4016);Toko GREEN POINT;POP ICE CERIA;RM PADANG JINGGLANG;Bakso,soto & Mie Ayam Pak Wariyun;D TEKO (BL4059);Yogya Chicken;Mrikiniki Angkringan And Gallery;KA MILK TEA;Tom and Jelly Baleharjo;Warung Makan Mbak Eny;Mie Ayam Bakso Pak Muji;Sambel Mentah P-3 Joyo Tamwiskul Dhaksinarga;PAWON DUREN (BM);LESEHAN MBOK IYEM;Rumah Makan Sederhana;KEDAI WOLU (BM5018);BAKSO DAN SOTO BETAWI SARI RASA;JELLY POTTER SEMANU;Candu Bobamilk II;Rumah Tempe Gunung Kidul;PUTRA JUICE;LOTEK IBU KUS;Taman Kuliner Wonosari;Warjo Gundul;RESTO RAKYAT REMEN TEMEN;Duren Naraya;KAWAII KEDAI ES BUAH;Pondok Ikan Bakar Bu Shintia;Kalahari resto & cafe;Serba Sambal Logandeng;MIE AYAM DAN BAKSO BAROKAH;KEDAI SANGKARA;SEL SEL Gunungkidul;JELLY POTTER PIYAMAN;Run&Run Signature Drink Gunungkidul;Aruna Hotel;LESEHAN GELAGAH SARI;Serba Es SS;Limas nDe_Piss;HeHa Sky View;DEPOT NASIONAL;9 DEPOT MAMAN;9 DEPOT BENING;9 DEPOT DANURI;9 DEPOT CANDRA;9 CITRA AGUS SALIM WONOSARI;9 CITRA WONOSARI;9 CITRA ALFA AGUS SALIM WONOSARI
D'BALE CHICKEN;0.0;44.5;1089.0;3370.9;24588.1;24477.8;7279.3;7558.3;12694.0;41904.7;12927.4;24940.6;23285.8;13149.5;14596.3;13393.7;21486.1;28353.9;25287.3;22789.3;24142.2;1271.5;16817.1;16695.8;21976.7;21945.4;20327.3;41563.4;41423.7;17925.3;28458.0;18266.2;23904.4;18561.2;20574.8;21092.2;20129.1;21645.8;25841.4;6190.9;23305.8;43992.1;23988.4;24527.1;24135.0;26621.4;25039.5;25094.0;23743.0;24399.6;24235.1;23982.9;812.0;16476.3;28357.7;25876.5;24139.7;26728.4;26785.5;27235.5;26905.7;25672.5;26122.0;26102.1;25842.9;25763.5;28078.7;25907.2;27601.8;26519.2;26460.0;26263.6;25817.0;28847.4;27211.7;27107.8;27970.8;36308.4;28219.1;25603.9;33301.7;27806.7;33494.7;29988.3;23577.5;26426.4;24573.8;25581.0;23506.7;23897.1;25583.0;20259.8;19658.4;25571.5;27478.0;24058.1;23661.2;26038.2;28325.2;25388.8;35668.5;23461.8;26921.5;27540.5;5194.5;24940.3;24940.3;24940.3;24940.3;24940.3;24940.3;24940.3;24940.3
BOBA EMPIRIS;44.5;0.0;1044.5;3326.4;24543.6;24433.3;7234.8;7513.9;12649.5;41860.2;12882.9;24896.1;23241.3;13105.0;14551.8;13349.2;21441.6;28309.4;25242.8;22744.8;24097.7;1227.0;16772.6;16651.3;21932.2;21900.9;20282.8;41518.9;41379.2;17880.8;28413.5;18221.7;23859.9;18516.7;20530.3;21047.7;20084.6;21601.3;25796.9;6146.4;23261.3;43947.6;23943.9;24482.7;24090.5;26576.9;24995.0;25049.5;23698.5;24355.1;24190.6;23938.4;767.5;16431.9;28313.2;25832.0;24095.2;26684.0;26741.0;27191.0;26861.2;25628.1;26077.5;26057.6;25798.4;25719.0;28034.2;25862.7;27557.3;26474.7;26415.5;26219.1;25772.5;28802.9;27167.2;27063.3;27926.3;36263.9;28174.6;25559.4;33257.2;27762.2;33450.2;29943.8;23533.0;26381.9;24529.3;25536.5;23462.2;23852.6;25538.5;20215.3;19613.9;25527.0;27433.5;24013.7;23616.7;25993.8;28280.7;25344.3;35624.0;23417.3;26877.0;27496.0;5150.0;24895.8;24895.8;24895.8;24895.8;24895.8;24895.8;24895.8;24895.8
ANGKRINGAN BU MUNARTI;1089.0;1044.5;0.0;2281.9;23499.1;23388.8;6190.3;6469.4;11605.0;40815.7;11838.4;23851.7;22196.8;12060.5;13507.3;12304.7;20397.1;27264.9;24198.3;21700.3;23053.3;867.2;15728.1;15606.8;20887.7;20856.4;19238.3;40474.4;40334.7;16836.3;27369.0;17177.2;22815.4;17472.2;19485.8;20003.2;19040.1;20556.8;24752.4;5102.0;22216.8;42903.1;22899.5;23438.2;23046.0;25532.4;23950.5;24005.0;22654.1;23310.6;23146.1;22894.0;407.7;16072.0;27268.7;24787.5;23050.7;25639.5;25696.5;26146.6;25816.7;24583.6;25033.0;25013.1;24753.9;24674.5;26989.7;24818.2;26512.8;25430.3;25371.0;25174.6;24728.0;27758.4;26122.7;26018.8;26881.8;35219.4;27130.1;24515.0;32212.7;26717.7;32405.7;28899.3;22488.5;25337.4;23484.8;24492.0;22417.7;22808.1;24494.0;19170.8;18569.4;24482.5;26389.0;22969.2;22572.2;24949.3;27236.3;24299.9;34579.5;22372.8;25832.5;26451.6;4105.5;23851.3;23851.3;23851.3;23851.3;23851.3;23851.3;23851.3;23851.3
ANGKRINGAN PRAYOGO (BS3218);3372.7;3328.2;2283.8;0.0;21217.2;21106.9;3908.4;4187.4;9323.1;38533.7;9556.5;21569.7;19914.9;9778.6;11225.4;10022.8;18115.2;24983.0;21916.4;19418.4;20771.3;3150.9;13446.2;13324.9;18605.8;18574.5;16956.4;38192.4;38052.8;14554.4;25087.1;14895.3;20533.5;15190.3;17203.9;17721.3;16758.2;18274.9;22470.5;2820.0;19934.9;40621.2;20617.5;21156.2;20764.0;23250.5;21668.6;21723.1;20372.1;21028.7;20864.2;20612.0;2691.4;18355.8;24986.8;22505.6;20768.8;23357.5;23414.6;23864.6;23534.8;22301.6;22751.1;22731.2;22472.0;22392.6;24707.8;22536.3;24230.9;23148.3;23089.1;22892.6;22446.1;25476.5;23840.8;23736.8;24599.9;32937.5;24848.1;22233.0;29930.8;24435.8;30123.7;26617.4;20206.6;23055.5;21202.9;22210.1;20135.8;20526.2;22212.1;16888.9;16287.5;22200.5;24107.1;20687.2;20290.3;22667.3;24954.3;22017.9;32297.6;20090.9;23550.6;24169.6;1823.6;21569.4;21569.4;21569.4;21569.4;21569.4;21569.4;21569.4;21569.4
ANGKRINGAN OJO LALI PAK YANTO (BM4079);24613.7;24569.2;23524.7;21240.9;0.0;124.1;17314.9;17035.9;16157.3;18289.5;11666.9;8962.0;1337.9;11444.7;12663.7;11461.2;9309.2;4738.7;1672.2;18425.9;6154.2;24391.9;14884.6;14763.3;10639.4;10608.1;8990.1;17948.2;17808.5;6665.4;4842.9;6324.5;683.7;6029.5;4015.9;3498.5;4461.6;3695.5;2226.2;21460.1;1282.3;20376.9;2439.0;2101.8;1772.2;3006.2;1424.4;1478.9;2193.6;784.5;619.9;2119.5;23932.4;39596.7;2437.0;2261.3;6156.7;3113.3;3170.3;3620.4;3290.5;2057.4;2506.8;2486.9;2227.7;2148.4;4463.6;2292.1;3986.6;2904.1;2844.8;2648.4;2201.9;5232.3;3596.6;3492.6;4355.6;12693.2;4603.9;1988.8;9686.6;4191.6;9879.5;6373.1;1010.6;2811.2;958.7;1965.8;3401.6;691.0;1967.8;4426.5;4932.3;1956.3;3862.9;529.9;2111.8;2423.1;2469.5;1773.7;12053.4;1126.3;3306.4;3925.4;20463.7;1325.1;1325.1;1325.1;1325.1;1325.1;1325.1;1325.1;1325.1
KOLING (BM4048);24503.4;24458.9;23414.4;21130.6;124.1;0.0;17204.6;16925.6;16047.0;18125.4;11556.6;8851.7;1227.6;11334.4;12553.5;11350.9;9198.9;4574.6;1508.0;18315.6;5990.0;24281.6;14774.3;14653.0;10529.2;10497.8;8879.8;17784.1;17644.4;6555.1;4678.7;6214.2;573.4;5919.2;3905.6;3388.2;4351.3;3585.2;2062.1;21349.8;1172.0;20212.8;2328.7;1937.7;1515.9;2842.1;1260.2;1314.7;2083.3;620.3;513.3;2009.2;23822.1;39486.4;2446.3;2097.2;5992.6;2949.1;3006.2;3456.2;3126.4;1893.3;2342.7;2322.8;2063.6;1984.2;4299.4;2127.9;3822.5;2739.9;2680.7;2484.3;2037.7;5068.1;3432.4;3328.5;4191.5;12529.1;4439.8;1824.6;9522.4;4027.4;9715.4;6209.0;900.3;2647.1;794.5;1801.7;3291.3;580.7;1803.7;4316.2;4822.0;1792.2;3698.7;690.2;2001.5;2258.9;2478.7;1609.5;11889.2;1016.0;3142.2;3761.2;20353.4;1161.0;1161.0;1161.0;1161.0;1161.0;1161.0;1161.0;1161.0
RM PADANG LANGGENG MULYA;7298.7;7254.3;6209.8;3926.0;17308.8;17198.5;0.0;279.0;5414.7;34625.3;5648.1;17661.3;16006.5;5870.2;7317.0;6114.4;14206.8;21074.6;18008.0;15510.0;16862.9;7076.9;9537.8;9416.5;14697.4;14666.1;13048.0;34284.0;34144.4;10646.0;21178.7;10986.9;16625.1;11281.9;13295.5;13812.9;12849.8;14366.5;18562.1;4145.2;16026.5;36712.8;16709.1;17247.8;16855.6;19342.1;17760.2;17814.7;16463.7;17120.3;16955.8;16703.6;6617.5;22281.8;21078.4;18597.2;16860.4;19449.1;19506.2;19956.2;19626.4;18393.2;18842.7;18822.8;18563.6;18484.2;20799.4;18627.9;20322.5;19239.9;19180.7;18984.2;18537.7;21568.1;19932.4;19828.4;20691.5;29029.1;20939.7;18324.6;26022.4;20527.4;26215.3;22709.0;16298.2;19147.1;17294.5;18301.7;16227.4;16617.8;18303.7;12980.5;12379.1;18292.1;20198.7;16778.8;16381.9;18758.9;21045.9;18109.5;28389.2;16182.5;19642.2;20261.2;3148.8;17661.0;17661.0;17661.0;17661.0;17661.0;17661.0;17661.0;17661.0
LESEHAN MAK MI;7577.8;7533.3;6488.8;4205.1;17029.7;16919.4;279.0;0.0;5135.6;34346.3;5369.0;17382.3;15727.5;5591.2;7037.9;5835.4;13927.7;20795.5;17728.9;15231.0;16583.9;7356.0;9258.7;9137.4;14418.4;14387.0;12769.0;34005.0;33865.3;10367.0;20899.7;10707.8;16346.0;11002.8;13016.4;13533.9;12570.8;14087.5;18283.0;4424.3;15747.5;36433.7;16430.1;16968.8;16576.6;19063.0;17481.2;17535.7;16184.7;16841.3;16676.7;16424.6;6896.5;22560.8;20799.3;18318.1;16581.3;19170.1;19227.1;19677.2;19347.3;18114.2;18563.6;18543.7;18284.5;18205.2;20520.4;18348.8;20043.4;18960.9;18901.6;18705.2;18258.6;21289.1;19653.3;19549.4;20412.4;28750.0;20660.7;18045.6;25743.4;20248.4;25936.3;22429.9;16019.1;18868.0;17015.5;18022.6;15948.3;16338.7;18024.6;12701.4;12100.0;18013.1;19919.7;16499.8;16102.9;18479.9;20766.9;17830.5;28110.2;15903.4;19363.2;19982.2;3427.8;17381.9;17381.9;17381.9;17381.9;17381.9;17381.9;17381.9;17381.9
WULENPARI;11423.9;11379.5;10335.0;8051.2;16151.1;16040.8;4125.2;3846.2;0.0;33467.7;4490.4;16503.7;14848.9;4712.6;6159.3;4956.7;13049.1;19916.9;16850.3;14352.4;15705.3;11202.1;8380.1;8258.8;13539.8;13508.4;11890.4;33126.4;32986.7;9488.3;20021.1;9829.2;15467.4;10124.2;12137.8;12655.3;11692.2;13208.9;17404.4;7271.8;14868.8;35555.1;15551.5;16090.2;15698.0;18184.4;16602.6;16657.1;15306.1;15962.7;15798.1;15546.0;10742.7;26407.0;19920.7;17439.5;15702.7;18291.5;18348.5;18798.6;18468.7;17235.6;17685.0;17665.1;17405.9;17326.6;19641.8;17470.2;19164.8;18082.3;18023.0;17826.6;17380.0;20410.5;18774.7;18670.8;19533.8;27871.4;19782.1;17167.0;24864.7;19369.7;25057.7;21551.3;15140.5;17989.4;16136.8;17144.0;15069.7;15460.1;17146.0;11822.8;11221.4;17134.5;19041.1;15621.2;15224.3;17601.3;19888.3;16951.9;27231.6;15024.8;18484.6;19103.6;6275.4;16503.3;16503.3;16503.3;16503.3;16503.3;16503.3;16503.3;16503.3
RM LANGGENG TIMUR (BM4055);41184.0;41139.5;40095.1;37811.3;17543.3;17379.2;33885.3;33606.3;32727.6;0.0;28237.2;22256.7;17908.3;28015.1;29234.1;28031.6;25879.6;13550.6;15871.2;34996.3;20204.6;40962.2;31455.0;31333.6;27209.8;27178.5;25560.4;12039.9;11900.2;23235.8;13446.4;22894.9;17254.1;22599.9;20586.3;20068.8;21031.9;20265.9;15976.2;38030.5;17852.7;8828.6;19009.4;17534.0;17550.9;16574.5;16505.8;16560.3;18764.0;16758.9;16923.4;18689.9;40502.7;56167.1;18793.0;15907.0;20207.2;15176.0;15119.0;15258.7;15269.9;16107.9;16557.3;15919.0;15977.7;16198.8;14012.4;16014.6;11818.4;15883.9;15526.5;15476.4;15951.9;13057.0;15234.9;15130.9;12445.8;24331.5;18654.4;15634.5;8872.0;14097.8;8410.0;18011.4;17581.0;15402.7;16584.7;16033.6;19972.0;17261.4;16031.6;20996.9;21502.7;16679.3;15501.2;17100.3;18682.2;16173.1;18760.5;16322.8;6236.1;17696.7;15285.8;17975.8;37034.1;16225.0;16225.0;16225.0;16225.0;16225.0;16225.0;16225.0;16225.0
