;D'BALE CHICKEN;BOBA EMPIRIS;ANGKRINGAN BU MUNARTI;ANGKRINGAN PRAYOGO (BS3218);ANGKRINGAN OJO LALI PAK YANTO (BM4079);KOLING (BM4048);RM PADANG LANGGENG MULYA;LESEHAN MAK MI;WULENPARI;RM LANGGENG TIMUR (BM4055);ANGKRINGAN TOP;BAKWAN KAWI LEK SOMAT;WARUNG MAKAN BAROKAH;Mi ayam bakso Dan ketoprak gunungkidul SIDA LARIS SAMBIPITU;MIE AYAM & BAKSO PAK ARIF SAMBI 7;Mie Ayam Bakso Tan Sumur. MBS. Pak TUPARMAN;Angkringan Mas Kirun;ANGKRINGAN MBAK RETNO;ANGKRINGAN JEMBATAN;BOBA YOU AND ME;BOBA SEPARUH HATI 1;Bakso OMAH NDELIK;RM NGALANG;MIE AYAM & DEGAN;ANGKRINGAN BU TUMINI;SRC WINDARTI;Kopi Wono Angkringan Mbah Dullah;RUMAH MAKAN PADANG BAROKAH;MIE AYAM KD (BS);"Warung Bakso Mie Ayam ""Bu Wakir""";RM Padang Tuah Saiyo;Es degan depan lapangan terbang gading;"Rumah Makan Padang Pak Toha
";Angkringan Pak Agus;Soto Ayam Tan Proyek;Soto Tan Proyek Mbah Lurah (Pusat);Warung Simbok;OMAHENA;Es Guppy #2;WARKOP MAS BROW;Rumah Makan Nasi Padang Giwangan;WARIMIN (BL3036);Angkringan Kang Parjo;ANGKRINGAN DELLA JC;ANGKRINGAN JC (BS);Lesehan Layah Kembar Garden;Angkringan Mbak Yuni pasar pitek;Sop Buntut dan Soto SARPRING;AD~ Angkringan Deso;SATE KAMBING LEDOKSARI;ANGKRINGAN TBY;Wadek Angkringan;Mie Ayam Dan Bakso Barokah Pak Eko;BAKSO LIK MAN;SOTO PAK ANTON;ES KELAPA MUDA BU YATMI;BOBA SEPARUH HATI 2;OMA THAI TEA;WARUNG LESEHAN SUGARNI;LESEHAN KHAS SOLO MBAH BAGONG 2;Bakso & Soto Pak Wariyun;Panda Asian Food;MIE AYAM MAS BAGONG;Es Guppy19;ES GUPPY KSATRIAN (BL4016);Toko GREEN POINT;POP ICE CERIA;RM PADANG JINGGLANG;Bakso,soto & Mie Ayam Pak Wariyun;D TEKO (BL4059);Yogya Chicken;Mrikiniki Angkringan And Gallery;KA MILK TEA;Tom and Jelly Baleharjo;Warung Makan Mbak Eny;Mie Ayam Bakso Pak Muji;Sambel Mentah P-3 Joyo Tamwiskul Dhaksinarga;PAWON DUREN (BM);LESEHAN MBOK IYEM;Rumah Makan Sederhana;KEDAI WOLU (BM5018);BAKSO DAN SOTO BETAWI SARI RASA;JELLY POTTER SEMANU;Candu Bobamilk II;Rumah Tempe Gunung Kidul;PUTRA JUICE;LOTEK IBU KUS;Taman Kuliner Wonosari;Warjo Gundul;RESTO RAKYAT REMEN TEMEN;Duren Naraya;KAWAII KEDAI ES BUAH;Pondok Ikan Bakar Bu Shintia;Kalahari resto & cafe;Serba Sambal Logandeng;MIE AYAM DAN BAKSO BAROKAH;KEDAI SANGKARA;SEL SEL Gunungkidul;JELLY POTTER PIYAMAN;Run&Run Signature Drink Gunungkidul;Aruna Hotel;LESEHAN GELAGAH SARI;Serba Es SS;Limas nDe_Piss;HeHa Sky View;DEPOT NASIONAL;9 DEPOT MAMAN;9 DEPOT BENING;9 DEPOT DANURI;9 DEPOT CANDRA;9 CITRA AGUS SALIM WONOSARI;9 CITRA WONOSARI;9 CITRA ALFA AGUS SALIM WONOSARI
D'BALE CHICKEN;0.0;6.3;120.5;217.4;1182.0;1180.0;382.4;394.2;836.0;2247.4;622.1;1297.2;1095.2;631.5;758.7;645.5;1163.6;1341.1;1152.4;1419.9;1338.9;137.7;878.3;861.9;1101.1;1099.1;1003.4;2245.8;2233.2;833.9;1349.5;848.3;1093.9;862.9;948.3;970.5;929.3;1059.2;1200.9;373.9;1068.7;2009.4;1132.0;1149.7;1124.0;1340.5;1148.1;1158.5;1115.9;1114.8;1107.8;1114.8;113.7;1041.6;1376.6;1197.2;1338.7;1263.8;1270.9;1299.4;1281.5;1194.4;1223.9;1231.1;1201.7;1203.0;1351.0;1209.0;1324.0;1271.8;1252.5;1269.3;1198.8;1366.1;1301.4;1292.3;1355.3;1833.5;1370.3;1172.7;1558.9;1318.1;1562.7;1455.6;1080.1;1303.7;1122.1;1194.0;1192.7;1093.6;1194.3;945.5;909.4;1217.3;1312.7;1100.3;1110.6;1218.6;1374.5;1171.0;1655.4;1075.2;1282.1;1319.9;308.5;1138.8;1138.8;1138.8;1138.8;1138.8;1138.8;1138.8;1138.8
BOBA EMPIRIS;6.3;0.0;114.2;211.1;1175.7;1173.7;376.1;387.9;829.7;2241.1;615.8;1290.9;1088.9;625.2;752.4;639.2;1157.3;1334.8;1146.1;1413.6;1332.6;131.4;872.0;855.6;1094.8;1092.8;997.1;2239.5;2226.9;827.6;1343.2;842.0;1087.6;856.6;942.0;964.2;923.0;1052.9;1194.6;367.6;1062.4;2003.1;1125.7;1143.4;1117.7;1334.2;1141.8;1152.2;1109.6;1108.5;1101.5;1108.5;107.4;1035.3;1370.3;1190.9;1332.4;1257.5;1264.6;1293.1;1275.2;1188.1;1217.6;1224.8;1195.4;1196.7;1344.7;1202.7;1317.7;1265.5;1246.2;1263.0;1192.5;1359.8;1295.1;1286.0;1349.0;1827.2;1364.0;1166.4;1552.6;1311.8;1556.4;1449.3;1073.8;1297.4;1115.8;1187.7;1186.4;1087.3;1188.0;939.2;903.1;1211.0;1306.4;1094.0;1104.3;1212.3;1368.2;1164.7;1649.1;1068.9;1275.8;1313.6;302.2;1132.5;1132.5;1132.5;1132.5;1132.5;1132.5;1132.5;1132.5
ANGKRINGAN BU MUNARTI;123.8;117.5;0.0;96.9;1061.5;1059.5;261.9;273.7;715.5;2126.9;501.6;1176.7;974.7;511.0;638.2;525.0;1043.1;1220.6;1031.9;1299.4;1218.4;45.2;757.8;741.4;980.6;978.6;882.9;2125.3;2112.7;713.4;1229.0;727.8;973.4;742.4;827.8;850.0;808.8;938.7;1080.4;253.4;948.2;1888.9;1011.5;1029.2;1003.5;1220.0;1027.6;1038.0;995.4;994.3;987.3;994.3;21.2;949.1;1256.1;1076.7;1218.2;1143.3;1150.4;1178.9;1161.0;1073.9;1103.4;1110.6;1081.2;1082.5;1230.5;1088.5;1203.5;1151.3;1132.0;1148.8;1078.3;1245.6;1180.9;1171.8;1234.8;1713.0;1249.8;1052.2;1438.4;1197.6;1442.2;1335.1;959.6;1183.2;1001.6;1073.5;1072.2;973.1;1073.8;825.0;788.9;1096.8;1192.2;979.8;990.1;1098.1;1254.0;1050.5;1534.9;954.7;1161.6;1199.4;188.0;1018.3;1018.3;1018.3;1018.3;1018.3;1018.3;1018.3;1018.3
ANGKRINGAN PRAYOGO (BS3218);220.6;214.3;96.8;0.0;964.6;962.6;165.0;176.8;618.6;2030.0;404.7;1079.8;877.8;414.1;541.3;428.1;946.2;1123.7;935.0;1202.5;1121.5;142.0;660.9;644.5;883.7;881.7;786.0;2028.4;2015.8;616.5;1132.1;630.9;876.5;645.5;730.9;753.1;711.9;841.8;983.5;156.5;851.3;1792.0;914.6;932.3;906.6;1123.1;930.7;941.1;898.5;897.4;890.4;897.4;118.0;1045.9;1159.2;979.8;1121.3;1046.4;1053.5;1082.0;1064.1;977.0;1006.5;1013.7;984.3;985.6;1133.6;991.6;1106.6;1054.4;1035.1;1051.9;981.4;1148.7;1084.0;1074.9;1137.9;1616.1;1152.9;955.3;1341.5;1100.7;1345.3;1238.2;862.7;1086.3;904.7;976.6;975.3;876.2;976.9;728.1;692.0;999.9;1095.3;882.9;893.2;1001.2;1157.1;953.6;1438.0;857.8;1064.7;1102.5;91.1;921.4;921.4;921.4;921.4;921.4;921.4;921.4;921.4
ANGKRINGAN OJO LALI PAK YANTO (BM4079);1189.4;1183.1;1065.6;968.8;0.0;29.1;803.0;791.2;940.5;1220.8;563.4;632.0;116.5;554.0;675.9;562.7;647.2;314.5;125.8;1247.7;440.0;1110.8;795.5;779.1;621.4;619.4;523.7;1219.2;1206.6;351.8;322.9;337.4;88.8;322.8;237.4;215.2;256.4;284.2;174.3;1020.2;114.0;982.8;198.3;240.7;191.3;313.9;121.5;131.9;182.2;88.2;81.2;172.5;1086.8;2014.7;279.3;170.6;440.2;237.2;244.3;272.8;254.9;167.8;197.3;204.5;175.1;176.4;324.4;182.4;297.4;245.2;225.9;242.7;172.2;339.5;274.8;265.7;328.7;806.9;343.7;146.1;532.3;291.5;536.1;429.0;102.6;277.1;95.5;167.4;261.1;89.1;167.7;260.4;276.3;190.7;286.1;82.4;176.9;192.0;281.4;144.4;628.8;107.5;255.5;293.3;954.8;112.2;112.2;112.2;112.2;112.2;112.2;112.2;112.2
KOLING (BM4048);1196.0;1189.7;1072.2;975.4;22.6;0.0;809.6;797.8;947.1;1213.3;570.0;638.6;123.1;560.6;682.5;569.3;653.8;307.0;118.3;1254.3;432.5;1117.4;802.1;785.7;628.0;626.0;530.3;1211.7;1199.1;358.4;315.4;344.0;95.4;329.4;244.0;221.8;263.0;290.8;166.8;1026.8;120.6;975.3;204.9;233.2;211.9;306.4;114.0;124.4;188.8;80.7;82.0;179.1;1093.4;2021.3;281.2;163.1;432.7;229.7;236.8;265.3;247.4;160.3;189.8;197.0;167.6;168.9;316.9;174.9;289.9;237.7;218.4;235.2;164.7;332.0;267.3;258.2;321.2;799.4;336.2;138.6;524.8;284.0;528.6;421.5;109.2;269.6;88.0;159.9;267.7;95.7;160.2;267.0;282.9;183.2;278.6;89.5;183.5;184.5;283.3;136.9;621.3;114.1;248.0;285.8;961.4;104.7;104.7;104.7;104.7;104.7;104.7;104.7;104.7
RM PADANG LANGGENG MULYA;386.4;380.1;262.6;165.8;799.6;797.6;0.0;11.8;453.6;1865.0;239.7;914.8;712.8;249.1;376.3;263.1;781.2;958.7;770.0;1037.5;956.5;307.8;495.9;479.5;718.7;716.7;621.0;1863.4;1850.8;451.5;967.1;465.9;711.5;480.5;565.9;588.1;546.9;676.8;818.5;217.2;686.3;1627.0;749.6;767.3;741.6;958.1;765.7;776.1;733.5;732.4;725.4;732.4;283.8;1211.7;994.2;814.8;956.3;881.4;888.5;917.0;899.1;812.0;841.5;848.7;819.3;820.6;968.6;826.6;941.6;889.4;870.1;886.9;816.4;983.7;919.0;909.9;972.9;1451.1;987.9;790.3;1176.5;935.7;1180.3;1073.2;697.7;921.3;739.7;811.6;810.3;711.2;811.9;563.1;527.0;834.9;930.3;717.9;728.2;836.2;992.1;788.6;1273.0;692.8;899.7;937.5;151.8;756.4;756.4;756.4;756.4;756.4;756.4;756.4;756.4
LESEHAN MAK MI;398.2;391.9;274.4;177.6;787.8;785.8;11.8;0.0;441.8;1853.2;227.9;903.0;701.0;237.3;364.5;251.3;769.4;946.9;758.2;1025.7;944.7;319.6;484.1;467.7;706.9;704.9;609.2;1851.6;1839.0;439.7;955.3;454.1;699.7;468.7;554.1;576.3;535.1;665.0;806.7;229.0;674.5;1615.2;737.8;755.5;729.8;946.3;753.9;764.3;721.7;720.6;713.6;720.6;295.6;1223.5;982.4;803.0;944.5;869.6;876.7;905.2;887.3;800.2;829.7;836.9;807.5;808.8;956.8;814.8;929.8;877.6;858.3;875.1;804.6;971.9;907.2;898.1;961.1;1439.3;976.1;778.5;1164.7;923.9;1168.5;1061.4;685.9;909.5;727.9;799.8;798.5;699.4;800.1;551.3;515.2;823.1;918.5;706.1;716.4;824.4;980.3;776.8;1261.2;681.0;887.9;925.7;163.6;744.6;744.6;744.6;744.6;744.6;744.6;744.6;744.6
WULENPARI;840.0;833.7;716.2;619.4;943.5;941.5;453.6;441.8;0.0;2008.9;383.6;1058.7;856.7;393.0;520.2;407.0;925.1;1102.6;913.9;1181.4;1100.4;761.4;639.8;623.4;862.6;860.6;764.9;2007.3;1994.7;595.4;1111.0;609.8;855.4;624.4;709.8;732.0;690.8;820.7;962.4;681.6;830.2;1770.9;893.5;911.2;885.5;1102.0;909.6;920.0;877.4;876.3;869.3;876.3;737.4;1665.3;1138.1;958.7;1100.2;1025.3;1032.4;1060.9;1043.0;955.9;985.4;992.6;963.2;964.5;1112.5;970.5;1085.5;1033.3;1014.0;1030.8;960.3;1127.6;1062.9;1053.8;1116.8;1595.0;1131.8;934.2;1320.4;1079.6;1324.2;1217.1;841.6;1065.2;883.6;955.5;954.2;855.1;955.8;707.0;670.9;978.8;1074.2;861.8;872.1;980.1;1136.0;932.5;1416.9;836.7;1043.6;1081.4;616.2;900.3;900.3;900.3;900.3;900.3;900.3;900.3;900.3
RM LANGGENG TIMUR (BM4055);2174.1;2167.8;2050.3;1953.5;1146.1;1132.7;1787.7;1775.9;1925.2;0.0;1548.1;1612.9;1101.2;1538.7;1660.6;1547.4;1631.9;909.2;1015.0;2232.4;1318.7;2095.5;1780.2;1763.8;1606.1;1604.1;1508.4;985.1;972.5;1336.5;900.8;1322.1;1073.5;1307.5;1222.1;1199.9;1241.1;1268.9;1037.2;2004.9;1098.7;644.9;1183.0;1186.7;1177.2;1082.3;1052.2;1062.6;1166.9;1052.6;1059.6;1157.2;2071.5;2999.4;1228.7;1035.9;1318.9;989.8;979.4;990.7;987.8;1046.5;1076.0;1045.7;1038.0;1055.1;954.6;1045.7;957.4;1061.6;1012.9;1031.4;1035.1;884.2;992.7;983.6;1002.7;1524.8;1222.4;1011.4;716.4;932.2;687.4;1146.9;1087.3;1007.8;1045.3;1059.0;1245.8;1073.8;1058.7;1245.1;1261.0;1120.6;1004.0;1067.1;1161.6;1054.9;1226.6;1064.0;594.1;1092.2;988.4;1172.0;1939.5;1036.4;1036.4;1036.4;1036.4;1036.4;1036.4;1036.4;1036.4
